frame,time,ankle_angle_r_angular_velocity_deg_per_s,ankle_angle_r_angular_velocity_rad_per_s,subtalar_angle_r_angular_velocity_deg_per_s,subtalar_angle_r_angular_velocity_rad_per_s,mtp_angle_r_angular_velocity_deg_per_s,mtp_angle_r_angular_velocity_rad_per_s,ankle_angle_l_angular_velocity_deg_per_s,ankle_angle_l_angular_velocity_rad_per_s,subtalar_angle_l_angular_velocity_deg_per_s,subtalar_angle_l_angular_velocity_rad_per_s,mtp_angle_l_angular_velocity_deg_per_s,mtp_angle_l_angular_velocity_rad_per_s,talus_r_linear_velocity_magnitude_mm_per_s,talus_r_linear_velocity_magnitude_m_per_s,talus_r_linear_velocity_x_m_per_s,talus_r_linear_velocity_y_m_per_s,talus_r_linear_velocity_z_m_per_s,calcn_r_linear_velocity_magnitude_mm_per_s,calcn_r_linear_velocity_magnitude_m_per_s,calcn_r_linear_velocity_x_m_per_s,calcn_r_linear_velocity_y_m_per_s,calcn_r_linear_velocity_z_m_per_s,toes_r_linear_velocity_magnitude_mm_per_s,toes_r_linear_velocity_magnitude_m_per_s,toes_r_linear_velocity_x_m_per_s,toes_r_linear_velocity_y_m_per_s,toes_r_linear_velocity_z_m_per_s,talus_l_linear_velocity_magnitude_mm_per_s,talus_l_linear_velocity_magnitude_m_per_s,talus_l_linear_velocity_x_m_per_s,talus_l_linear_velocity_y_m_per_s,talus_l_linear_velocity_z_m_per_s,calcn_l_linear_velocity_magnitude_mm_per_s,calcn_l_linear_velocity_magnitude_m_per_s,calcn_l_linear_velocity_x_m_per_s,calcn_l_linear_velocity_y_m_per_s,calcn_l_linear_velocity_z_m_per_s,toes_l_linear_velocity_magnitude_mm_per_s,toes_l_linear_velocity_magnitude_m_per_s,toes_l_linear_velocity_x_m_per_s,toes_l_linear_velocity_y_m_per_s,toes_l_linear_velocity_z_m_per_s
1,0.04167,22.51857302846423,0.3930232421974916,64.24736438350108,1.1213280442206306,73.46943037065192,1.282283459532594,-37.99819096403489,-0.6631935421239671,-167.08084746444763,-2.9161109052770304,-269.9985232858514,-4.712363206860686,1202.574744748411,1.202574744748411,1.1218655858933568,0.4208914690633343,-0.10224478062262832,1238.3069810395775,1.2383069810395775,1.148499400031518,0.4585051897020114,-0.0642362704001258,1168.6340777812966,1.1686340777812967,1.1343670772482,0.21636185670087799,-0.17917725517505476,2553.4694046851587,2.5534694046851585,2.043831397052689,0.5891862635364171,-1.4127345001608855,2681.4709859248164,2.6814709859248165,2.3247420659075546,0.42747129546042567,-1.2661474112100328,2819.797422780471,2.819797422780471,1.9416924658112313,0.6820819690870044,-1.927654549232741
2,0.08333,-57.44527148576897,-1.0026091271286834,60.84150636069697,1.0618846078672348,25.177289864832108,0.43942660487031837,-76.153970228215,-1.3291375189480894,-131.2455605841346,-2.2906671608188414,-257.3136987039829,-4.490971252869167,615.9955848712517,0.6159955848712517,0.5715249881570407,-0.13934839132366647,0.18273416300318987,680.0055394418275,0.6800055394418275,0.6111683006533852,-0.14390386873520855,0.26109867581254403,695.5808299831093,0.6955808299831093,0.6623727108959503,-0.20888237442697863,0.038252275149180115,418.9202529438634,0.41892025294386337,0.2615929966183505,-0.30856491909310957,-0.10886217502808261,537.5693056819069,0.537569305681907,0.3558144052041246,-0.40195220602972254,-0.02848317974528268,479.7250953008525,0.4797250953008525,0.2559351337339462,-0.30879383755600115,-0.2632104486327187
3,0.125,-68.13582549236932,-1.1891944934061311,-3.5605869477513035,-0.062143965541795555,-23.299053571549535,-0.4066451974220836,-51.82230530916817,-0.9044698536187226,64.49009437147875,1.1255644817041672,111.7381205515988,1.9501981036157414,254.86841501455748,0.2548684150145575,-0.020857334480258182,0.23816110763385023,-0.08832987818982294,292.0086446719219,0.2920086446719219,0.0025160683983660214,0.28774439072706215,-0.04965766373943991,207.04203431445737,0.20704203431445736,0.018917358490898366,0.13363913491901117,-0.15700037942277117,1084.8098293077585,1.0848098293077586,-0.9916892634154454,0.20200067039070468,0.3905899381076858,1132.5086805415156,1.1325086805415157,-1.046735232815286,0.2690519621711513,0.3384262187491798,1122.4472106150163,1.1224472106150163,-0.9952144769275392,0.22803961815867232,0.4662979927914361
4,0.16667,-137.7420328637318,-2.4040519918623535,-78.1028954514219,-1.363152680968215,-14.071709446234818,-0.24559766122078555,-65.43874315504081,-1.1421215264223643,17.898037777005868,0.31237968885507905,29.773247880958028,0.5196412045351423,1940.9291513869794,1.9409291513869793,-1.561342203734388,1.0757157921018659,-0.41503256277583717,1995.307257983467,1.995307257983467,-1.5771021395528344,1.1332406395769585,-0.45800168994292945,2036.23273546237,2.03623273546237,-1.6083538117441933,1.20349602073338,-0.33322529510139176,733.4146966129874,0.7334146966129874,-0.6094177993104299,0.3754277294535186,0.15987833827297718,740.4816129773739,0.7404816129773738,-0.6341872697028719,0.3506017583778844,0.15230867712223642,838.0192838254703,0.8380192838254703,-0.6349532473193158,0.5187935642638821,0.17310092853704512
5,0.20833,-239.45537853155093,-4.1792847669849085,-154.75447795254067,-2.7009751724768076,-43.106149649874055,-0.7523442392477031,-29.840549776889763,-0.5208158442119857,4.368514587228295,0.07624496296853477,67.63993153705813,1.1805395111452133,3203.62528202053,3.20362528202053,-3.1285098808863636,0.6864806865192185,-0.06622038835295682,3260.250816085977,3.260250816085977,-3.164213649710384,0.7727543322214763,-0.1408478072556063,3331.6485926644086,3.3316485926644086,-3.2198369016569526,0.8492817743661256,0.1060808157039502,502.3772834273028,0.5023772834273028,-0.2778268924883452,-0.25015065032475525,0.3355887436374588,489.50995478108445,0.48950995478108444,-0.2843353305364309,-0.22858080815879772,0.32638049846764566,520.1799729249101,0.5201799729249101,-0.2734731494722263,-0.27218405237806814,0.34887746040831397
6,0.25,-293.66572699430026,-5.125433836313331,-200.43822404989652,-3.498306956520777,-121.86043093330278,-2.12686574768528,57.75471804636539,1.008009988470063,61.697766180425056,1.076829160974023,187.68595862765787,3.2757379378144877,4347.286257689258,4.347286257689258,-4.275945241656667,0.4027082618546765,0.6730647461289032,4408.53654302477,4.40853654302477,-4.345338808594774,0.48943609535651195,0.5600691013322449,4554.451594983118,4.554451594983118,-4.405682253442794,0.6101387194200243,0.9801652696397567,328.21004577198954,0.32821004577198953,0.06115233437574992,-0.15277784735228989,0.28397386412212017,248.80338031838,0.24880338031837998,0.01168491344300854,-0.06734309277718718,0.23923104462189893,419.794398006657,0.41979439800665697,0.07308899769829935,-0.19384168565831134,0.36511742756868504
7,0.29167,-103.27694323797998,-1.8025227008980442,-160.43944305219262,-2.8001965313267014,-19.79327558289715,-0.3454578286761551,94.51825916105098,1.6496548256136327,67.42531849817524,1.1767938069989963,158.1475664391251,2.7601957383792173,5279.437693011516,5.279437693011515,-4.872078228431668,0.49589576840200456,1.9721570620297648,5470.165589213549,5.470165589213549,-5.198279201254905,0.570516721333192,1.6047166696634978,6002.2470741356965,6.002247074135696,-5.131296926131776,0.7693876829941498,3.0174168402953554,1361.4652799844785,1.3614652799844784,1.2773395528717815,-0.28653141403472887,-0.37402021876335845,1372.3598650301292,1.3723598650301292,1.2997889192607273,-0.23696529570603111,-0.3711708678540093,1387.4466607700954,1.3874466607700955,1.2754764607234745,-0.3191845177288162,-0.44304545846293253
8,0.33333,136.08419975893463,2.375117345735083,-70.0363951632719,-1.2223656918269263,103.781451323798,1.8113280280985027,96.06372290479666,1.676628256412193,41.304842376374715,0.7209054964850177,47.40210460820664,0.8273227977879826,5104.085650301512,5.104085650301512,-3.9854690082017097,1.1417995092105353,2.9772505757903667,5492.930571776228,5.4929305717762285,-4.637747845624535,1.2917525483276533,2.6447980150945227,6050.667523259788,6.050667523259788,-3.844947409755724,1.1617669221362519,4.525180052978395,2748.848171922374,2.7488481719223743,2.555424670330674,0.28540409361005553,-0.9718618882829839,2864.686388158098,2.864686388158098,2.7007528411271857,0.3340950506670909,-0.8948422714431178,2883.6723221875304,2.8836723221875302,2.5692491993787345,0.16881019749781045,-1.2984713052135206
9,0.375,263.1999916774736,4.593706445993587,7.798819249767661,0.1361150736763597,162.54399805908284,2.836927945486268,68.900563478806,1.202541689184523,120.6192638706721,2.105203295875068,49.04995251092064,0.856083169262425,2974.3530314692034,2.9743530314692035,-2.1701325951419013,-0.3932962493127504,1.9956499030614667,3416.453605719979,3.416453605719979,-2.7896346936043956,-0.3598993391563832,1.9392178789271084,3505.4630131781,3.5054630131781,-1.6314450688061173,-0.5260828675942255,3.0577597584917826,1974.548849922873,1.974548849922873,1.9350933290540622,-0.038494845217070146,-0.39086457433991234,2075.6090632662035,2.0756090632662034,2.0434115755206146,0.15760114618076654,-0.32830472927400195,2190.530599445049,2.190530599445049,2.0449170684082096,-0.3745637696396399,-0.6902466754075692
10,0.41667,175.55464081562897,3.064006499388749,15.226672282825437,0.2657555654574651,101.42347996462543,1.7701736642132158,11.104112470605045,0.1938033231238201,78.0397508960769,1.3620506005727369,-48.088387307949354,-0.8393006904979685,2094.4418656042803,2.0944418656042805,-1.1775686439347552,0.845988305432636,1.5113975665882282,2392.769382621876,2.392769382621876,-1.5570687137692565,0.8736865137703049,1.592970249147647,2351.243435609371,2.351243435609371,-0.5383084711194298,0.9769440154992682,2.0698188505271147,2371.8569291455883,2.371856929145588,2.3427822334119286,-0.17320963871230152,-0.32722334910961043,2521.036971017878,2.5210369710178777,2.502273649284816,-0.2410276233077136,-0.1901569828759403,2457.044806714555,2.457044806714555,2.3392148231870706,0.0867678846190352,-0.7467359154236414
11,0.45833,50.96845543650541,0.889567362023023,61.668360996008076,1.0763159436887906,-24.616256496425525,-0.4296347253780691,27.502201187668973,0.4800039622707185,-19.90705932153107,-0.34744372955054564,-63.15876817962207,-1.1023284562382305,1790.9556523775138,1.7909556523775139,0.27748923775557977,1.1894488872614142,-1.309859998742376,1849.0508124696526,1.8490508124696525,0.4027505591690566,1.208117187910221,-1.3406094712702852,1825.005891327616,1.825005891327616,0.03394002360446028,1.0868590781165604,-1.4656847964326625,2405.9838884616756,2.4059838884616758,2.2288624678331086,0.7841029650193244,-0.453996818568119,2500.022154781279,2.500022154781279,2.348286904970498,0.7926587925698966,-0.3276452729751211,2563.541598340982,2.563541598340982,2.336726701437023,0.7239775307408555,-0.7663617841452283
12,0.5,-4.465988791332426,-0.07794620876591282,138.3994808912821,2.415526624603849,-56.813686088201756,-0.9915858824336181,13.46535114094523,0.23501471234666932,29.021842691444657,0.506526709961562,6.657749073587489,0.11619964210570392,2450.9129037930984,2.4509129037930983,0.9371603825465938,1.0285927919223496,-2.017597915286895,2603.9187645613665,2.6039187645613664,1.2506833887798259,0.94441106515678,-2.0794883345367534,2798.4224298845015,2.7984224298845017,0.48336835110075976,1.0904546032313513,-2.5314880784879015,2287.217796225054,2.287217796225054,2.2052990852398993,0.5930140060230731,-0.1278889388067705,2401.616341712217,2.401616341712217,2.3228146058923205,0.6096008901319147,0.02607899888516732,2480.513077825312,2.4805130778253117,2.3457317121142767,0.6353251505504562,-0.4968398304502829
13,0.54167,35.49318605529087,0.6194729586877639,141.65737144292828,2.472387541399689,-38.318060083037516,-0.6687763114260165,47.525490501104,0.8294762878695546,33.55022776548601,0.5855619393017507,59.84284390952938,1.0444546599783233,3382.99908262489,3.38299908262489,2.143451399101696,-0.8531917849404081,-2.4743408558321205,3702.515532709431,3.7025155327094312,2.527324192696177,-1.0924399943268215,-2.4754451223491976,3777.4185062080164,3.7774185062080163,1.7810188267824323,-0.6293861420285598,-3.271197883637084,2074.3730302367767,2.0743730302367767,1.8093539194034283,-0.9566495422553699,0.33776251452129935,2164.6700071878267,2.164670007187827,1.8654476546371537,-1.010260823421236,0.43043507813320264,2075.638062629421,2.075638062629421,1.8811902468914554,-0.8639998649961522,0.1513302855449299
14,0.58333,11.45145624100102,0.19986561555352106,130.07779802069462,2.270285859205284,-103.492886765937,-1.8062916264592668,29.028100835425604,0.5066359351790934,15.964808410442325,0.27863847121230084,86.62568101278558,1.5119033504554444,3739.257438316965,3.7392574383169648,2.7060007968889748,-0.8020959562026012,-2.452804100267369,4023.1265458535745,4.023126545853574,3.1280642052539176,-1.0210221281889469,-2.3147948819516184,4317.880997234943,4.317880997234942,2.442883346381806,-0.9128753233574006,-3.441377036341437,1628.0055224002656,1.6280055224002656,1.597818500481713,0.3120044189980551,-0.005591333456126414,1688.4746063139773,1.6884746063139773,1.6512414525462855,0.3410770637852835,0.0895242878753178,1749.0781979316264,1.7490781979316263,1.725691459640194,0.22284640066336378,-0.17777235532001515
15,0.625,57.532655402233694,1.0041342641842805,101.38703184590558,1.7695375245353966,-106.00722112184403,-1.8501750394658552,-14.786033569565937,-0.25806496909933563,3.1422301307635943,0.05484226163719668,75.18960992745663,1.3123062565243329,1921.39167209765,1.9213916720976498,1.2076105578271272,-1.1725021776089948,-0.926639812296462,2025.360101401889,2.025360101401889,1.3625812038461,-1.2433239959943834,-0.8364218100100823,2271.1488419779175,2.2711488419779173,1.1189853026479566,-1.4733547268366973,-1.317275523109519,1538.9438567337554,1.5389438567337554,1.477808625628859,0.27793186701313904,0.32738927516658056,1654.8732888039058,1.6548732888039057,1.54530441329037,0.3532737400539208,0.4752236703387949,1712.6276748543473,1.7126276748543474,1.7055192524676768,0.1354814863101968,0.07708695743305383
16,0.66667,-37.98026728652205,-0.6628807149373023,12.849530807484573,0.22426661992705144,32.77253916438619,0.5719887126573302,-48.05845372052979,-0.8387782508405637,-27.728988495335646,-0.48396214749123534,-13.082401834137162,-0.22833098607463856,829.3219959488948,0.8293219959488948,-0.3426308708566255,-0.7507581919081242,0.08210479025935741,833.0906898356774,0.8330906898356774,-0.3263729780676385,-0.7607824143843885,0.09343925642686869,919.0224777416767,0.9190224777416767,-0.36123532999440133,-0.8440315222780228,0.04149867900704664,967.8389754187859,0.9678389754187859,0.6050540155319681,-0.6995442561860679,0.28506096587468327,1003.6107151316851,1.003610715131685,0.6382395845252549,-0.6760456935661946,0.3779509498370991,1129.2243859806606,1.1292243859806605,0.7530382447944206,-0.8238400376212094,0.17137300890928733
17,0.70833,-81.15145833326616,-1.4163601407104842,-51.29505424527105,-0.8952675865690747,91.7840675732455,1.6019341800260956,-112.97308073754031,-1.9717522249914623,-64.22088898818579,-1.1208659614016119,-77.71456023537132,-1.3563749528466889,742.6228549652122,0.7426228549652122,-0.711414199349288,0.0873266706315588,0.19430026834078595,743.0447796148986,0.7430447796148987,-0.7025536240949914,0.14804729291354574,0.19135294313105708,757.2449179985266,0.7572449179985266,-0.7297176611978614,-0.001299112276909617,0.20231241454199064,723.3747933478704,0.7233747933478705,-0.659126360944069,0.08740106913199856,-0.28492908779955556,708.6419151048816,0.7086419151048816,-0.650589490703705,0.11716619226947397,-0.25530131573981507,656.8863282991518,0.6568863282991518,-0.5866125032870856,-0.04497675499661974,-0.2921686341885012
18,0.75,-79.41607369783686,-1.3860719650337217,-44.99506577858278,-0.7853120449876954,90.44990888522803,1.5786487181761029,-240.53700203026503,-4.19816265830441,-60.50857590519621,-1.056073875238582,-209.78080283164326,-3.6613657168892186,989.4143489145274,0.9894143489145274,-0.8346538392651247,0.3130624183854355,0.4292850389107545,1011.5630760436077,1.0115630760436076,-0.8555955671709108,0.3473004020029961,0.41303572850402454,1028.0033439707993,1.0280033439707992,-0.8305114094290429,0.3529247231754664,0.492428485970146,1994.9352542472443,1.9949352542472443,-1.9190693061815804,-0.27332026694700373,-0.47141881420482473,1972.4354636836463,1.9724354636836463,-1.9036124357365871,-0.298489533312921,-0.42150367899767255,1961.5209845319216,1.9615209845319217,-1.8709064073519144,-0.24678926259629708,-0.5351344200813546
19,0.79167,24.67185225057263,0.43060505433806545,-3.1207957404169013,-0.0544681609524892,73.65757668591533,1.2855672322094358,-282.63563048810516,-4.932922335467503,-107.48323314897678,-1.8759363091383576,-322.9290015950248,-5.636174328011203,1099.984781975358,1.0999847819753579,-0.5156080700494646,-0.7442927972744605,0.6246143374936257,1074.5811947144923,1.0745811947144923,-0.5984066028746022,-0.6833349968965375,0.574184259351049,1304.633612580671,1.304633612580671,-0.5367736550924561,-0.8480537987625055,0.8335152432190194,4243.011753282917,4.243011753282917,-4.010688122840189,-1.3816891627429577,-0.09200313779585137,4326.220938601263,4.326220938601263,-4.052995333775704,-1.4968818973974276,-0.22081897388638605,4465.341317452223,4.465341317452223,-4.242806160567276,-1.3805276803441666,0.17891978370734254
20,0.83333,52.26374460592061,0.9121744227947409,34.923586778919464,0.6095315758981056,36.20950822339733,0.6319751390262458,-234.63951215657383,-4.095232042405474,-96.88970300450427,-1.6910443287080419,-358.6741276444446,-6.260044469113971,876.2790801738862,0.8762790801738862,0.7011500677693875,-0.4749314119995524,0.2251527541769963,872.4608696647122,0.8724608696647121,0.6876145482807273,-0.4903090097442931,0.2190234623330747,866.8013118643626,0.8668013118643626,0.7095885746077277,-0.42980013704048087,0.2511979522924838,6108.880455908491,6.1088804559084915,-5.889423924801841,-0.9861692922137066,1.2886335342707558,6259.658767195003,6.259658767195003,-6.087380450217123,-1.1285451302091138,0.9238576866146233,6743.887694163841,6.743887694163841,-6.353933823778255,-0.9275375509056052,2.0608785229122972
