frame,time,hip_flexion_r_angular_velocity_deg_per_s,hip_flexion_r_angular_velocity_rad_per_s,hip_adduction_r_angular_velocity_deg_per_s,hip_adduction_r_angular_velocity_rad_per_s,hip_rotation_r_angular_velocity_deg_per_s,hip_rotation_r_angular_velocity_rad_per_s,hip_flexion_l_angular_velocity_deg_per_s,hip_flexion_l_angular_velocity_rad_per_s,hip_adduction_l_angular_velocity_deg_per_s,hip_adduction_l_angular_velocity_rad_per_s,hip_rotation_l_angular_velocity_deg_per_s,hip_rotation_l_angular_velocity_rad_per_s,femur_r_linear_velocity_magnitude_mm_per_s,femur_r_linear_velocity_magnitude_m_per_s,femur_r_linear_velocity_x_m_per_s,femur_r_linear_velocity_y_m_per_s,femur_r_linear_velocity_z_m_per_s,femur_l_linear_velocity_magnitude_mm_per_s,femur_l_linear_velocity_magnitude_m_per_s,femur_l_linear_velocity_x_m_per_s,femur_l_linear_velocity_y_m_per_s,femur_l_linear_velocity_z_m_per_s,pelvis_linear_velocity_magnitude_mm_per_s,pelvis_linear_velocity_magnitude_m_per_s,pelvis_linear_velocity_x_m_per_s,pelvis_linear_velocity_y_m_per_s,pelvis_linear_velocity_z_m_per_s
1,0.04167,-37.14437832782768,-0.6482917004270187,1.3621343121098053,0.02377372860070417,55.122429012063584,0.9620678779573546,23.50497214612472,0.4102391545394341,-8.228193508549321,-0.14360906821540984,132.92441963053597,2.3199687788554373,607.7874721244681,0.607787472124468,0.26947714769213726,0.4061068852284786,-0.36313203647321496,613.424933706638,0.613424933706638,0.20099510126958398,0.4097858664226784,-0.40983736071622084,632.7618790496759,0.632761879049676,0.210920626349892,0.421841252699784,-0.421841252699784
2,0.08333,-29.451806173068952,-0.5140309883792441,-37.25718519524958,-0.6502605516823916,18.7086236289587,0.32652708084173926,32.44123925760691,0.5662064384724814,-14.18835133540008,-0.2476334462324657,29.005177808624587,0.5062358528868928,601.7632239752021,0.6017632239752021,0.11097430553335555,-0.5897912507553943,0.04415837149178243,568.9904433612886,0.5689904433612886,-0.054980491824981055,-0.5663213853474368,0.002712683785265017,516.3813419134317,0.5163813419134317,0.026371406925108015,-0.5157075132021123,0.0
3,0.125,-41.93659573908975,-0.7319316727249411,-28.857484369591553,-0.5036581160921728,18.19625258323754,0.3175845191020186,14.634493532030756,0.2554200964957509,21.92091034614247,0.382592060574676,-53.5521239048755,-0.9346608835760402,159.02309863002532,0.1590230986300253,-0.05312601896908062,-0.09980166247344743,-0.11182844080969616,127.08206262833747,0.12708206262833746,-0.035121968990039394,-0.09856007784025715,-0.07212634048846404,139.66457809617674,0.13966457809617674,-0.0439417971562275,-0.09374250059995201,-0.09374250059995201
4,0.16667,15.075170434319457,0.2631113593781781,-54.117810727762084,-0.944533981170557,17.16016049851655,0.2995013008697853,-22.064086489359173,-0.3850909556841144,9.157350893368141,0.15982592384971822,12.21005003963528,0.21310557502489977,259.68000877149876,0.25968000877149877,-0.22122270345172917,0.10083154834429649,-0.09125360974540003,313.24004268743596,0.31324004268743594,-0.28130474324016963,0.11436310436961915,-0.0768638154943698,300.9362639299621,0.3009362639299621,-0.24900351721862243,0.14061375089992798,-0.09374250059995197
5,0.20833,79.30604288781538,1.3841515651202103,-42.78204009126237,-0.7466874603127437,36.556221351056614,0.6380264246637878,-41.72461737701348,-0.7282319523637254,16.346850645983803,0.28530636610417937,-20.382924725645537,-0.3557491476486765,446.8594638787994,0.4468594638787994,-0.24689571593051582,-0.29929372134600146,0.22169608538733399,464.63153568948655,0.46463153568948656,-0.2542625982144449,-0.293404793888116,0.25523836316252024,442.84153518953974,0.4428415351895397,-0.2490632876260203,-0.28129500720115236,0.2344125060009603
6,0.25,124.1264244747075,2.166414795811719,-26.434535650188465,-0.4613696833316087,39.926047020100775,0.6968409778068292,-72.50866283875519,-1.2655149027547363,46.948359555615184,0.8194034526556269,-46.21422450698057,-0.8065903789026642,465.78228080754496,0.46578228080754497,-0.2735055033640521,-0.2534663559923018,0.27911051417644395,498.8508870855463,0.49885088708554626,-0.2539491149942623,-0.24705245565218056,0.35117963878319414,473.89262206428924,0.4738926220642892,-0.24900315961936173,-0.23435625149987993,0.3280987520998319
7,0.29167,183.4028844184546,3.200984190756638,9.131068875018858,0.15936721609545368,-7.022970487478925,-0.12257395827689843,-110.1049054589153,-1.92169312285515,36.256774368871156,0.6328000888894907,0.5263440908755556,0.009186437384194687,155.97130430709703,0.15597130430709702,-0.06343667845317494,-0.01285640862109938,0.1419068298266608,203.5857564952554,0.2035857564952554,0.04234869244975784,-0.023715982970385817,0.1977152008503383,193.34390748740108,0.19334390748740107,-0.005858906287497002,-0.04687125029997602,0.18748500119990408
8,0.33333,193.90652854491555,3.3843073642211454,14.516225192131685,0.25335592456364436,10.625210561463168,0.18544490801520763,-174.7975998643109,-3.050793642215819,-3.5220774115940006,-0.06147184734243481,25.104075675545776,0.4381487762080935,646.030296189307,0.6460302961893071,-0.040047138972289245,0.6447259588877966,-0.008933543014343227,627.2582899303815,0.6272582899303815,0.13744157206479932,0.6050658351918333,-0.09196799246668523,519.0265557837187,0.5190265557837187,0.058603126500239994,0.515707513202112,0.0
9,0.375,108.45516392284416,1.8928997012438,55.69071652035939,0.971986366075071,-56.41484336332532,-0.9846247636868984,-157.57483154287036,-2.750199628698504,-11.409810049296585,-0.19913875238736192,-65.60018766971746,-1.144939264762756,319.2449880389862,0.3192449880389862,-0.15229508835032948,0.24923238074547796,0.12886733038407713,330.03698423445826,0.33003698423445826,0.26078820085536963,0.20215515327133213,0.006871627393831933,158.54253180029392,0.15854253180029393,0.07323597099445182,0.0,0.14061375089992806
10,0.41667,161.74518946585343,2.8229861054411907,1.881590674777217,0.03283995244968426,-70.37923066690482,-1.2283493001580537,-119.3311962091329,-2.082722274192745,-38.95974253377462,-0.6799757829436452,70.16516568944077,1.2246131614880986,212.92221977355132,0.21292221977355133,0.1308148159579119,0.16789428330108597,0.0059046789928680725,230.84845824936636,0.23084845824936637,0.16044262990638,0.16356304105534844,-0.02821887286126486,207.30926697294848,0.2073092669729485,0.15233156347492205,0.14061375089992806,0.0
11,0.45833,40.751272727320796,0.7112438834699173,4.405571383197742,0.07689172606844139,12.241845960769973,0.21366051853740461,-124.07868623782336,-2.1655816063989937,-47.7886133173079,-0.8340686473494325,-13.696729830061072,-0.2390530322906891,830.379449954905,0.830379449954905,0.22582377142134719,0.7488495217340237,-0.2788513026097845,874.2828490371284,0.8742828490371284,0.1840329175950011,0.7365852150846083,-0.43352578502404104,808.1762105748304,0.8081762105748304,0.22562203702592398,0.7032375180028799,-0.32817750840134396
12,0.5,25.173428208021317,0.439359206244388,10.936261329791114,0.19087376806338835,-88.7991175350085,-1.5498369738513296,-125.433725609985,-2.189231504937371,-17.251740155722487,-0.3010996674158767,-16.145041503448653,-0.2817841321063144,528.0810413316309,0.5280810413316309,0.12758784022925143,0.4459577468421668,-0.2524135837687673,567.6674694281712,0.5676674694281713,0.09894199385069706,0.44187825447597023,-0.34234550664657776,522.4045421288114,0.5224045421288114,0.12596648518118556,0.4218412526997842,-0.2812275017998561
