frame,time,knee_angle_r_angular_velocity_deg_per_s,knee_angle_r_angular_velocity_rad_per_s,knee_angle_l_angular_velocity_deg_per_s,knee_angle_l_angular_velocity_rad_per_s,tibia_r_linear_velocity_magnitude_mm_per_s,tibia_r_linear_velocity_magnitude_m_per_s,tibia_r_linear_velocity_x_m_per_s,tibia_r_linear_velocity_y_m_per_s,tibia_r_linear_velocity_z_m_per_s,tibia_l_linear_velocity_magnitude_mm_per_s,tibia_l_linear_velocity_magnitude_m_per_s,tibia_l_linear_velocity_x_m_per_s,tibia_l_linear_velocity_y_m_per_s,tibia_l_linear_velocity_z_m_per_s
1,0.04167,7.109614345610684,0.1240861788779285,-240.35787725874914,-4.195036341269575,812.3844735592668,0.8123844735592668,0.6605333952357908,0.40990601977427743,-0.23588391554163948,691.390540860142,0.691390540860142,0.23752601134682663,0.49694854062553906,-0.417904800037872
2,0.08333,33.00666658452185,0.5760750070078976,-59.070929829063765,-1.0309822177316939,617.4829860245017,0.6174829860245017,0.41515185921110903,-0.4326959555960594,0.147337645678582,438.4766056261847,0.43847660562618473,-0.11218363885059988,-0.4221370914951861,0.03842968695792108
3,0.125,73.31610460831769,1.2796074201517311,107.5271418442959,1.8767026604419312,203.5590968743467,0.2035590968743467,0.20275949602193447,-0.01450994760262929,-0.010693648292316303,113.94411287906458,0.11394411287906457,-0.10221116629212144,-0.03311655233596937,-0.037939851164445905
4,0.16667,165.50655990773294,2.8886344040391823,103.99555678552002,1.815064873352055,450.23037789206717,0.45023037789206716,-0.23418317345769557,0.3699693343380185,-0.10482521688792237,232.28450482541308,0.23228450482541307,-0.09719333346581782,0.15151337636641407,-0.1468102308895366
5,0.20833,226.71756009384907,3.9569678957257706,85.21959106120299,1.4873624512211205,673.3437660246523,0.6733437660246523,-0.6703705496932247,-0.032809738693933235,0.054024757242408815,351.9090362805955,0.3519090362805955,0.009160315366645192,-0.31565566848117593,0.15529828522563618
6,0.25,259.7861543975965,4.534123745332405,74.3980605913122,1.2984911144166373,1084.877759620693,1.084877759620693,-1.0804638162859628,-0.09307307478390008,0.029918184548165826,334.3535046671306,0.3343535046671306,0.13828506451417477,-0.2013312445746527,0.2283314191554128
7,0.29167,302.40438719376135,5.277952229006911,-2.497775448325028,-0.04359440554874922,1305.952036910225,1.3059520369102249,-1.3022729825252595,0.0447599842647354,-0.08713406626200376,619.0143604520905,0.6190143604520905,0.6092676076209316,-0.10176988880440349,0.04018271372762837
8,0.33333,245.19625017578386,4.279481879111153,-76.38103005175404,-1.3331004604678427,1736.6052182922626,1.7366052182922627,-1.4536079167747396,0.9495022774200506,-0.03559682097963797,1135.8416748550046,1.1358416748550046,0.9711622562307716,0.535091184047455,-0.24628765126345978
9,0.375,73.27397653234163,1.2788721465184187,-41.62971238715962,-0.7265755478142037,1251.2932844639076,1.2512932844639075,-1.2194195582136027,0.14625523683691247,0.23949995926595413,890.6654243274146,0.8906654243274146,0.8534921683194059,0.25082298225712263,-0.04386169492182814
10,0.41667,-12.72824130966656,-0.22214971884203663,-73.24619510272996,-1.278387269100784,977.1923969789626,0.9771923969789627,-0.9061107539375369,0.2591822225755144,0.2582496037035788,852.8658581244706,0.8528658581244706,0.850377121159348,-0.03043884907176177,-0.057553455415949556
11,0.45833,-213.14705687058157,-3.7201179333272494,-56.95757503301272,-0.99409721827779,1095.3536293361233,1.0953536293361232,-0.1096891429752783,1.08130780539144,-0.13616642468947365,1206.2411853557517,1.2062411853557518,0.8618229292815994,0.7470238969924635,-0.3927267919751923
12,0.5,-287.5088600245746,-5.017976236084332,-50.71928551275337,-0.8852185264566068,612.4029196596684,0.6124029196596684,-0.08000568259898098,0.5860622763948418,-0.15864247522795838,990.9165311769908,0.9909165311769909,0.8235961549254042,0.49782394361576093,-0.23616999495020877
